City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Yenagoa,NG,76.93,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
221,Mecca,SA,81.19,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
223,Umm Kaddadah,SD,81.03,overcast clouds,13.6017,26.6876,
224,Abnub,EG,82.42,broken clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
225,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
226,Itarema,BR,76.91,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
227,Ghosi,IN,83.61,clear sky,26.1083,83.5436,Bhudisagar
228,Mana,GF,77.7,scattered clouds,5.6592,-53.7767,LE SAMANA
229,Jacareacanga,BR,75.22,moderate rain,-6.2222,-57.7528,Casa do Ian😎
232,Inhambane,MZ,71.17,light rain,-23.865,35.3833,Oceano
233,Jutai,BR,74.79,overcast clouds,-5.1833,-68.9,
234,Bayaguana,DO,79.95,few clouds,18.7564,-69.6362,Rancho La Mecha
235,Naraina,IN,83.84,clear sky,26.7833,75.2,Acharya Shri Jayant Satsang Bhavan
241,Paoua,CF,76.06,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
243,Amboasary,MG,72.77,broken clouds,-25.0333,46.3833,Le Bon Samaritain
244,Iralaya,HN,81.3,broken clouds,15.0,-83.2333,Iglesia morava renovada
246,Muana,BR,73.94,moderate rain,-1.5283,-49.2167,Pousada Bella do Marajó
247,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
254,Porto Walter,BR,78.78,broken clouds,-8.2686,-72.7439,Secretaria de saúde
255,Diffa,NE,88.63,broken clouds,13.3154,12.6113,ProDAF/Diffa
258,Kant,IN,84.81,clear sky,27.8,79.8,Haseeb Khan shatreng
260,Lagos,NG,80.92,light rain,6.5833,3.75,
268,Bandarbeyla,SO,82.17,broken clouds,9.4942,50.8122,JABIR HOTEL
270,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
272,Trinidad,BO,72.91,overcast clouds,-14.8333,-64.9,Hotel Piesta
274,Lubao,PH,89.31,broken clouds,14.9167,120.55,Hacienda Gracia
278,Magaria,NE,86.68,few clouds,12.9983,8.9099,Chez Honorable Chapiou
280,Sao Felix Do Xingu,BR,73.35,clear sky,-6.6447,-51.995,Rio Xingu Camping
283,Nisia Floresta,BR,79.61,light rain,-6.0911,-35.2086,Rancho Crepusculo
284,Mayumba,GA,76.26,clear sky,-3.432,10.6554,LIKWALE LODGE
288,Sao Geraldo Do Araguaia,BR,75.0,broken clouds,-6.4006,-48.555,Hotel Por do Sol
298,Srivardhan,IN,81.16,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
299,Alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
303,Caraballeda,VE,78.87,broken clouds,10.6112,-66.8522,Hotel 15 Letras
306,Urucara,BR,74.21,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
308,Malpe,IN,83.5,moderate rain,13.35,74.7167,Hotel Sri Krishna Residency
309,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
310,Anloga,GH,82.54,broken clouds,5.7947,0.8973,Pin Drop Hotel
312,Pizarro,CO,80.28,light rain,4.9533,-77.366,Hotel Limonar
313,Marzuq,YE,73.99,clear sky,14.4,46.4667,
316,Cartagena Del Chaira,CO,72.7,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
321,Monrovia,LR,78.39,overcast clouds,6.3005,-10.7969,Sunset Inn
324,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
326,Araouane,ML,81.03,clear sky,18.9048,-3.5265,
327,Kapoeta,SS,76.84,light rain,4.7717,33.5903,Eastgate Hotel
328,Saint-Pierre,RE,70.92,clear sky,-21.3393,55.4781,Alize Plage
329,Nicoya,CR,80.01,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
330,Dhidhdhoo,MV,84.99,overcast clouds,6.8833,73.1,Dhidhoo beach
331,Winneba,GH,79.56,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
332,Batticaloa,LK,82.53,broken clouds,7.7102,81.6924,Grand Star Guest House
334,Sao Filipe,CV,71.47,clear sky,14.8961,-24.4956,Hotel Xaguate
340,Dothan,US,79.0,scattered clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
341,Dharchula,IN,70.14,clear sky,29.85,80.5333,Mahara Hotel
342,Taoudenni,ML,82.85,broken clouds,22.6783,-3.9836,
344,Marawi,PH,76.78,overcast clouds,7.9986,124.2928,Derogongan Residence
346,Jaque,PA,81.23,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
347,Edd,ER,82.69,overcast clouds,13.9297,41.6925,
348,Garissa,KE,77.61,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
351,Jaisalmer,IN,81.48,clear sky,26.9147,70.9181,Hotel Fifu
352,Saint-Paul,RE,71.37,clear sky,-21.0096,55.2707,Boucan Canot
359,Dingle,PH,85.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
361,Bonfim,BR,74.3,overcast clouds,3.0833,-59.95,
363,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
364,Narayangarh,IN,81.19,clear sky,30.4833,77.1333,Hotel Paris
383,Cozumel,MX,82.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
384,Inirida,CO,74.1,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
386,Bouca,CF,73.45,overcast clouds,6.5105,18.2733,
391,French Harbor,HN,84.2,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
392,Ilebo,CD,71.76,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
393,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
394,Touros,BR,78.08,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
404,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
405,Ipixuna,BR,74.05,moderate rain,-1.7625,-48.8043,Chalé do Mato
406,Omboue,GA,77.36,few clouds,-1.5746,9.2618,Hotel Olako
409,Ormara,PK,80.53,clear sky,25.2088,64.6357,Kenara Colony house for Rent
411,Kaliganj,BD,82.89,broken clouds,23.4095,89.1402,Raquibul Islam Milton House
418,Luanda,AO,75.56,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
424,Port-Gentil,GA,80.28,light rain,-0.7193,8.7815,Fengshui Residence
425,Amapa,BR,71.82,overcast clouds,1.0,-52.0,
430,Miguelopolis,BR,76.82,overcast clouds,-20.1794,-48.0319,Las Vegas Motel
433,Shache,CN,70.68,clear sky,38.4167,77.2406,Delong Hotel
439,Takoradi,GH,78.96,light rain,4.8845,-1.7554,Raybow International Hotel
440,Porto Murtinho,BR,70.29,clear sky,-21.6989,-57.8825,Hotel Pantanal
443,Wattegama,LK,77.7,overcast clouds,6.7989,81.4808,
444,Sur,OM,87.08,clear sky,22.5667,59.5289,Sur Plaza Hotel
447,Oussouye,SN,74.17,broken clouds,12.485,-16.5469,Auberge du Routard
450,Turbat,PK,82.56,clear sky,26.0023,63.044,Mubashar Quarters
452,Berbera,SO,83.97,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
453,Bom Jesus Da Lapa,BR,71.78,broken clouds,-13.255,-43.4181,Hotel das Nações
