City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
539,Chaman,PK,73.17,clear sky,30.9236,66.4512,Niamat parda Center chaman
540,Kaduna,NG,79.57,light rain,10.5222,7.4383,HAMDALA HOTEL
541,Adrar,MR,87.55,scattered clouds,20.5022,-10.0711,
542,Santa Isabel Do Rio Negro,BR,73.9,scattered clouds,-0.4139,-65.0192,Hotel GSA
544,Camacari,BR,82.17,overcast clouds,-12.6975,-38.3242,Sítio Blasi
545,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
547,Wattegama,LK,77.63,overcast clouds,6.7989,81.4808,
550,Mucurapo,TT,82.13,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
553,Cubara,CO,73.22,overcast clouds,7.0008,-72.1085,Hotel Los Amigos
555,Qandala,SO,84.18,clear sky,11.472,49.8728,
557,Turbat,PK,83.86,clear sky,26.0023,63.044,Mubashar Quarters
559,Santa Fe Do Sul,BR,70.29,clear sky,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
560,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
562,Itaituba,BR,74.8,broken clouds,-4.2761,-55.9836,Hotel Campos
564,Santa Cruz,BO,77.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
565,Mana,GF,77.63,scattered clouds,5.6592,-53.7767,LE SAMANA
569,Puerto Escondido,MX,85.21,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
573,Pemba,MZ,74.1,few clouds,-12.974,40.5178,Guesthouse Samotina
575,Puerto Ayora,EC,73.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
580,Dabhol,IN,79.93,overcast clouds,17.6,73.1667,Ashwamedh Resort
584,La Victoria,VE,76.28,broken clouds,10.2184,-67.3302,Hotel Hacienda El Recreo
592,Ambilobe,MG,71.01,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
593,Puerto Wilches,CO,88.36,scattered clouds,7.3483,-73.896,Apartahotel Altamira
596,Kutum,SD,75.07,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
597,Soledad,CO,84.33,few clouds,10.9184,-74.7646,Cartagena Marlin hostel
600,Mitsamiouli,KM,80.91,broken clouds,-11.3847,43.2844,Foyer ADM
601,Kilindoni,TZ,81.32,broken clouds,-7.9139,39.6668,Bustani B&B
602,Luanda,AO,75.94,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
608,Raikot,IN,85.14,clear sky,30.65,75.6,Gurdeep Boutique
611,Dalbandin,PK,83.5,clear sky,28.8947,64.4101,Sanjrani House
613,San Juan De La Maguana,DO,72.66,clear sky,18.8059,-71.2299,Hotel Maguana
614,Jalu,LY,70.11,clear sky,29.0331,21.5482,صاحبة الفخامة
616,Puerto El Triunfo,SV,88.72,broken clouds,13.2833,-88.55,Hotel Jardin
623,Tambura,SS,70.57,overcast clouds,5.6,27.4667,Rikito Lodge
625,Isabela,PH,78.85,broken clouds,6.7085,121.9711,Isawad Resort
629,El Tocuyo,VE,74.5,scattered clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
632,Rurrenabaque,BO,72.7,broken clouds,-14.4413,-67.5278,Casa de Campo
633,Brasilia,BR,72.52,clear sky,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
634,Henderson,US,83.64,haze,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
637,Digha,IN,81.99,broken clouds,21.6833,87.55,Khoniker Atithi
640,Dhone,IN,84.88,overcast clouds,15.4167,77.8833,Pennera Rakesh
645,Jalor,IN,82.13,clear sky,25.35,72.6167,Hotel Mansarovar
646,Inirida,CO,73.54,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
652,Sangueya,GN,76.24,overcast clouds,10.7,-14.3667,
653,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
654,Vilhena,BR,77.22,clear sky,-12.7406,-60.1458,Hotel Mirage
655,Greencastle,US,70.75,clear sky,39.6445,-86.8647,College Inn
656,Muisne,EC,77.45,overcast clouds,0.6,-80.0333,Quinta Samay
658,La Tebaida,CO,80.74,scattered clouds,4.4527,-75.7875,El Triángulo
661,Savannah Bight,HN,82.87,clear sky,16.45,-85.85,Villa on Dunbar Rock
665,Tuscaloosa,US,80.38,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
666,Homestead,US,89.02,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
670,Kouango,CF,74.73,overcast clouds,4.9934,19.9619,
671,Banyo,CM,70.21,scattered clouds,6.75,11.8167,Motel JOMBA
672,Ocala,US,82.06,clear sky,29.1872,-82.1401,Golden Palms Inn & Suites
676,Abu Zabad,SD,84.88,overcast clouds,12.35,29.25,حامد محمد نور
679,Coruripe,BR,75.83,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
681,Takoradi,GH,79.48,light rain,4.8845,-1.7554,Raybow International Hotel
683,Robertsport,LR,79.84,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
685,Benjamin Constant,BR,80.65,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
686,Yazman,PK,88.21,clear sky,29.1212,71.7446,Jamal sons showroom
688,Sambava,MG,73.69,light rain,-14.2667,50.1667,Melrose
691,Rio De Janeiro,BR,73.36,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
694,Eydhafushi,MV,84.38,overcast clouds,5.1033,73.0708,Soneva Fushi
696,Cabinda,AO,77.47,broken clouds,-5.55,12.2,Hotel Maiombe
699,Savalou,BJ,75.63,overcast clouds,7.9281,1.9756,Hotel F&F
703,Tahoua,NE,88.61,few clouds,14.8888,5.2692,Bungalows Guesthouse
704,Daur,PK,82.31,clear sky,26.4583,68.3192,Khanzada goods transport
708,Farafangana,MG,72.68,scattered clouds,-22.8167,47.8333,Miarina
