City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Santa Barbara,US,34.7333,-120.0343,67.33,46,0,25.32,clear sky
79,Ambilobe,MG,-13.2,49.05,70.97,94,13,3.24,few clouds
80,Saldanha,ZA,-33.0117,17.9442,51.85,86,100,6.02,overcast clouds
81,Campos Novos,BR,-27.4017,-51.225,48.09,95,0,4.56,clear sky
82,Gornopravdinsk,RU,60.05,69.9,42.58,87,88,4.85,overcast clouds
83,Pedernales,DO,18.0384,-71.744,79.72,75,3,4.59,clear sky
84,Pangnirtung,CA,66.1451,-65.7125,21.49,93,93,0.96,overcast clouds
85,Mutare,ZW,-18.9707,32.6709,59.58,90,65,2.37,broken clouds
86,Methoni,GR,36.8197,21.7049,64.22,73,27,6.35,scattered clouds
87,Huite,GT,14.9333,-89.7167,94.05,36,100,4.61,overcast clouds
88,Olafsvik,IS,64.8945,-23.7142,43.66,92,100,17.34,moderate rain
89,Lovrenc Na Pohorju,SI,46.5406,15.3931,53.19,83,96,2.73,overcast clouds
90,Cayenne,GF,4.9333,-52.3333,82.09,1,75,3.0,broken clouds
91,Jamestown,US,42.097,-79.2353,62.24,23,0,4.61,clear sky
92,Souillac,MU,-20.5167,57.5167,71.98,94,40,1.14,scattered clouds
93,Luderitz,NA,-26.6481,15.1594,60.49,42,60,8.81,broken clouds
94,Yurino,RU,56.2942,46.3039,47.86,63,53,9.06,broken clouds
95,Isparta,TR,38.0,31.0,49.14,65,93,4.41,overcast clouds
96,Adrar,MR,20.5022,-10.0711,88.29,13,25,9.89,scattered clouds
97,Faranah,GN,10.0404,-10.7434,75.4,87,100,4.27,overcast clouds
98,Ancud,CL,-41.8697,-73.8203,50.43,89,71,5.35,broken clouds
99,De Aar,ZA,-30.6497,24.0123,48.07,73,13,7.45,few clouds
100,Erba,IT,45.8096,9.2312,60.17,87,85,5.26,overcast clouds
101,Kaabong,UG,3.4836,34.1492,64.17,85,59,6.4,light rain
102,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,75,0,8.05,clear sky
103,Grindavik,IS,63.8424,-22.4338,48.67,93,100,20.71,overcast clouds
104,Kuytun,RU,54.3419,101.5036,31.37,61,88,11.83,overcast clouds
105,Eenhana,NA,-17.4667,16.3333,62.02,40,0,6.31,clear sky
106,Taklisah,TN,36.7833,10.6333,61.21,89,6,10.13,clear sky
107,Ilulissat,GL,69.2167,-51.1,26.62,80,6,0.0,clear sky
108,Klaebu,NO,63.2976,10.4826,40.35,71,100,5.68,overcast clouds
109,Ribeira Grande,PT,38.5167,-28.7,62.91,84,48,5.77,scattered clouds
110,Melo,UY,-32.3667,-54.1833,56.97,81,0,3.78,clear sky
111,Taltal,CL,-25.4,-70.4833,62.22,72,0,1.83,clear sky
112,Joao Pinheiro,BR,-17.7425,-46.1725,71.19,65,46,5.1,scattered clouds
113,Augusto Correa,BR,-1.0217,-46.635,73.76,98,100,1.16,moderate rain
114,Pereira Barreto,BR,-20.6383,-51.1092,68.7,62,0,6.46,clear sky
115,Georgetown,MY,5.4112,100.3354,82.33,92,20,2.3,light rain
116,Varberg,SE,57.1056,12.2508,47.05,78,47,14.92,scattered clouds
117,Chuy,UY,-33.6971,-53.4616,57.6,84,6,4.85,clear sky
118,Oktyabrskoye,RU,43.0645,44.7417,44.74,93,100,2.24,overcast clouds
119,Manaquiri,BR,-3.3167,-60.35,77.45,97,100,2.77,overcast clouds
120,Manta,EC,-0.95,-80.7333,76.78,78,75,8.05,broken clouds
121,Sinazongwe,ZM,-17.2614,27.4618,72.03,63,12,3.49,few clouds
122,Noyabrsk,RU,63.1994,75.4507,34.2,100,100,12.19,overcast clouds
123,Pisco,PE,-13.7,-76.2167,67.01,82,0,16.11,clear sky
124,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,35,0,14.97,clear sky
125,Bengkulu,ID,-3.8004,102.2655,77.76,78,84,3.2,broken clouds
126,Bud,US,39.447,-86.1758,67.42,53,84,8.86,broken clouds
127,Hit,IQ,33.6416,42.8251,67.35,39,0,1.39,clear sky
128,Lagoa,PT,39.05,-27.9833,61.72,83,77,9.62,broken clouds
129,Saint-Leu,RE,-21.15,55.2833,69.31,72,1,4.09,clear sky
130,Longyearbyen,SJ,78.2186,15.6401,13.84,73,75,18.41,broken clouds
131,Quatre Cocos,MU,-20.2078,57.7625,72.09,86,18,7.16,few clouds
132,Sakakah,SA,29.9697,40.2064,62.17,18,47,5.82,scattered clouds
133,Porbandar,IN,21.6422,69.6093,80.64,77,1,12.71,clear sky
134,Muros,ES,42.7762,-9.0603,61.16,72,54,4.18,broken clouds
135,Klaksvik,FO,62.2266,-6.589,47.32,97,100,21.92,light rain
136,Amparafaravola,MG,-17.5833,48.2167,62.71,99,34,0.85,scattered clouds
137,Bubaque,GW,11.2833,-15.8333,76.93,78,63,15.7,broken clouds
138,Rocha,UY,-34.4833,-54.3333,55.6,85,1,6.4,clear sky
139,Morondava,MG,-20.2833,44.2833,72.41,87,2,7.83,clear sky
140,Sinnamary,GF,5.3833,-52.95,78.15,86,28,9.84,scattered clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.86,75,15,10.85,few clouds
142,Oktyabrskiy,RU,54.4815,53.471,45.41,54,100,2.73,overcast clouds
143,Bartica,GY,6.4,-58.6167,79.12,98,56,2.71,broken clouds
144,Troitskoye,RU,52.9821,84.6757,40.55,47,91,1.9,overcast clouds
145,Mao,ES,39.8885,4.2658,59.56,67,0,5.75,clear sky
